product ,Price,Grocery store,Location,District
Bananas,84,Jumbo,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Palermo
Bananas,94,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",Palermo
Bananas,94.9,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",Almagro
Bananas,94.9,Carrefour,"Av. Santa Fe 3368, C1425 CABA",Palermo
 Bananas,,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",
 Bananas,,Supermercados Día,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Retiro
 Bananas,,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Villa Crespo
 Bananas,,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Zhonghe District
 Bananas,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Wanhua District
 Bananas,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Zhonghe District
 Bananas,112,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Zhonghe District
 Bananas,178,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Yonghe Distric
 Bananas,138,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Almagro
 Bananas,118,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Retiro
 Bananas,118,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Recoleta 
 Bananas,,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Retiro
 Bananas,,,"Sarmiento 3978, C1425 FGQ, Argentina",Palermo
 Bananas,,Jumbo,,Caballito 
 Bananas,,Carrefour,"Arenales 870, C1061 CABA",Almagro
 Bananas,,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Caballito 
 Bananas,,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Retiro
 Bananas,92,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Monserrat
 Bananas,,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Palermo
 Bananas,70,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Palermo
 Bananas,,Carrefour,"Av. Gaona 1290, Buenos Aires",Recoleta 
 Bananas,,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Recoleta 
 Bananas,,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Monserrat
 Bananas,,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Colegiales
 Bananas,,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Almagro
 Bananas,,Jumbo,"Av. Córdoba 2529, C1120 CABA",Monserrat
 Bananas,,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Palermo
 Bananas,95,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Monserrat
Bananas,,Supermercados Día,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Palermo
Bananas,,Jumbo,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Palermo
Bananas,,Carrefour,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Palermo
Bananas,,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",Almagro
Bananas,,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",Palermo
Bananas,,Carrefour,"Av. Santa Fe 3368, C1425 CABA",
Bananas,150,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",Retiro
Bananas,,Supermercados Día,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Villa Crespo
Bananas,118,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Zhonghe District
Bananas,,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Wanhua District
Bananas,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Zhonghe District
Bananas,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Zhonghe District
Bananas,,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Yonghe Distric
Bananas,,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Almagro
Bananas,,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Retiro
Bananas,,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Recoleta 
Bananas,,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Retiro
Bananas,84,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Palermo
Bananas,,,"Sarmiento 3978, C1425 FGQ, Argentina",Caballito 
Bananas,92,Jumbo,,Almagro
Bananas,,Carrefour,"Arenales 870, C1061 CABA",Caballito 
Bananas,,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Retiro
Bananas,,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Monserrat
Bananas,,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Palermo
Bananas,,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Palermo
Bananas,,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Recoleta 
Bananas,,Carrefour,"Av. Gaona 1290, Buenos Aires",Recoleta 
Bananas,,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Monserrat
Bananas,,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Colegiales
Bananas,,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Almagro
Bananas,,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Monserrat
Bananas,,Jumbo,"Av. Córdoba 2529, C1120 CABA",Palermo
Bananas,,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Monserrat
Bananas,,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Palermo
Bananas,,Carrefour,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Palermo
Bananas,,Supermercados Día,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Palermo
Bananas,,Jumbo,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Almagro
Bananas,,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",Palermo
Bananas,,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",
Bananas,,Carrefour,"Av. Santa Fe 3368, C1425 CABA",Retiro
Tomatoes,84.9,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",Villa Crespo
Tomatoes,92.99,Supermercados Día,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Zhonghe District
Tomatoes,99,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Wanhua District
Tomatoes,99,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Zhonghe District
Tomatoes,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Zhonghe District
Tomatoes,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Yonghe Distric
Tomatoes,138,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Almagro
Tomatoes,118,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Retiro
Tomatoes,78,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Recoleta 
Tomatoes,118,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Retiro
Tomatoes,118,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Palermo
Tomatoes,92.99,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Caballito 
Tomatoes,,,"Sarmiento 3978, C1425 FGQ, Argentina",Almagro
Tomatoes,109,Jumbo,,Caballito 
Tomatoes,84.9,Carrefour,"Arenales 870, C1061 CABA",Retiro
Tomatoes,84.9,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Monserrat
Tomatoes,87,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Palermo
Tomatoes,110,Jumbo,"Supermercados Día, Fitz Roy 2292, C1425 FVD, Buenos Aires, Argentina",Palermo
Tomatoes,95.99,Supermercados Día,"Av. Acoyte 702, C1405 BGS, Buenos Aires",Recoleta 
Tomatoes,109,Supermercados Día,"Supermercados Día, Av. Rivadavia 3566, C1204 AAN, Buenos Aires, Argentina",Recoleta 
Tomatoes,91.4,Carrefour,"Av. Gaona 1290, Buenos Aires",Monserrat
Tomatoes,92.99,Supermercados Día,"Carrefour Market, Av. Córdoba 1631, C1055 CABA, Argentina",Colegiales
Tomatoes,109,Supermercados Día,"Supermercados Día, Av. Rivadavia 674, C1002 AAR, Buenos Aires, Argentina",Almagro
Tomatoes,110,Carrefour,"Supermercados Día, Buenos Aires, Raúl Scalabrini Ortíz 3170, C1425 DBZ, Argentina",Monserrat
Tomatoes,30,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 3128, C1425 CABA, Argentina",Palermo
Tomatoes,110,Jumbo,"Av. Córdoba 2529, C1120 CABA",Monserrat
Tomatoes,16,Supermercados Día,"Av. Gral. Las Heras 2564, C1425ASP CABA",Palermo
Tomatoes,15,Supermercados Día,"Supermercados Día, Av. Rivadavia 1177, C1033 AAB, Buenos Aires, Argentina",Palermo
Tomatoes,84.9,Carrefour,"Supermercados Día, C1426AJS AJS, Amenábar 1145, C1426 Buenos Aires, Argentina",Palermo
Tomatoes,95.99,Supermercados Día,"Carrefour Market, Av. Rivadavia 3221, C1179 CABA, Argentina",Almagro
Tomatoes,110,Jumbo,"Supermercados Día, Junín 638, C1026 ABN, Buenos Aires, Argentina",Palermo
Tomatoes,115,Carrefour,"Jumba, Av. Cerviño 4860, C1425 AIO, Buenos Aires, Argentina",
Tomatoes,84.9,Carrefour,"Carrefour Market, Av. Rivadavia 2243, C1034 CABA, Argentina",Retiro
Tomatoes,84.9,Carrefour,"Av. Santa Fe 3368, C1425 CABA",Villa Crespo
Tomatoes,,Carrefour,"Carrefour Market, Raúl Scalabrini Ortíz 1840, C1414 CABA, Argentina",Zhonghe District
Tomatoes,92.99,Supermercados Día,"Carrefour Market, Av. Corrientes 1160, 1043 CABA, Argentina",Wanhua District
Tomatoes,139,Jumbo,"Supermercados Día, Av. Corrientes 3534, C1194 AAO, Buenos Aires, Argentina",Zhonghe District
Tomatoes,109,Jumbo,"Jumbo, Av. Santa Fe 4950, C1425 BHY, Buenos Aires, Argentina",Zhonghe District
Tomatoes,,Supermercados Día,"Jumbo, Guardia Vieja 4558, C1192 CABA, Argentina",Yonghe Distric
Tomatoes,,Supermercados Día,"Supermercados Día, Buenos Aires, Paraguay 788, C1057 AAJ, Argentina",Almagro
Tomatoes,118,Carrefour,"Supermercados Día, Buenos Aires, Defensa 748, C1065 AAN, Argentina",Retiro
Tomatoes,198,Carrefour,"235, New Taipei City, Zhonghe District, Section 2, Zhongshan Road, 295號B1",Recoleta 
Tomatoes,118,Carrefour,"Carrefour, No. 1, Guilin Road, Wanhua District, Taipei City, Taiwan 108",Retiro
Tomatoes,13,Carrefour,"Carrefour, 100, Taiwan, Taipei City, Zhongzheng District, Section 2, Jinan Road, 46號B1",Palermo
Tomatoes,98,Carrefour,"Carrefour, No. 276號, Jinzhou Street, Zhongshan District, Taipei City, Taiwan 10477",Caballito 
Tomatoes,188.99,Supermercados Día,"Carrefour, No. 499-1, Zhonghe Road, Yonghe District, New Taipei City, Taiwan 234",Almagro
Tomatoes,,,"Sarmiento 3978, C1425 FGQ, Argentina",Caballito 
Tomatoes,110,Jumbo,,Retiro
Tomatoes,84.9,Carrefour,"Arenales 870, C1061 CABA",Monserrat
Tomatoes,,Carrefour,"Carrefour Market, Av. Santa Fe 1954, C1123 CABA, Argentina",Palermo
Tomatoes,,Supermercados Día,"Carrefour Market, Vicente López 1676, C1018 ABB, Buenos Aires, Argentina",Palermo
